Title,AirDate,Rating,Num_Votes,Season,Episode,Description
The One with Ross's Denial,7 Oct. 1999,8.0,4114,6,3,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.
The One Where Joey Loses His Insurance,14 Oct. 1999,8.4,4304,6,4,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent."
The One with Joey's Porsche,21 Oct. 1999,8.0,4191,6,5,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets."
The One on the Last Night,4 Nov. 1999,8.4,4247,6,6,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills."
The One Where Phoebe Runs,11 Nov. 1999,8.2,4262,6,7,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.
The One with Ross' Teeth,18 Nov. 1999,8.4,4432,6,8,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.
The One Where Ross Got High,25 Nov. 1999,9.1,6011,6,9,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.
The One with the Routine,16 Dec. 1999,8.5,4563,6,10,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents."
The One with the Apothecary Table,6 Jan. 2000,7.9,4166,6,11,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates."
The One with the Joke,13 Jan. 2000,7.9,4099,6,12,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend."
The One with Rachel's Sister,3 Feb. 2000,8.1,4269,6,13,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick."
The One Where Chandler Can't Cry,10 Feb. 2000,8.4,4325,6,14,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name."
The One That Could Have Been,17 Feb. 2000,8.4,4463,6,15,Barry and Mindy's impending divorce prompts the gang to fantasize about what their lives might be like if they'd all taken different courses.
The One That Could Have Been,17 Feb. 2000,8.4,4375,6,16,The gang continue to think about how different their lives could have been.
The One with Unagi,24 Feb. 2000,9.0,5891,6,17,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.
